id,category_id,slug,name,image,small_description,quantity,description,original_price,selling_price,status,trending,tag,meta_title,meta_keywords,meta_description
20,7,product-20,Product 20,product_20.jpg,Small desc for product 20,98,Long description for product 20,997.78,545.66,0,1,Sale,Meta Title Product 20,"keyword20, product",Meta description for product 20
21,7,product-21,Product 21,product_21.jpg,Small desc for product 21,75,Long description for product 21,678.97,263.06,1,0,New,Meta Title Product 21,"keyword21, product",Meta description for product 21
22,7,product-22,Product 22,product_22.jpg,Small desc for product 22,48,Long description for product 22,156.84,504.11,0,1,Sale,Meta Title Product 22,"keyword22, product",Meta description for product 22
23,9,product-23,Product 23,product_23.jpg,Small desc for product 23,35,Long description for product 23,567.92,89.55,1,1,Popular,Meta Title Product 23,"keyword23, product",Meta description for product 23
24,1,product-24,Product 24,product_24.jpg,Small desc for product 24,74,Long description for product 24,808.34,254.91,1,0,Popular,Meta Title Product 24,"keyword24, product",Meta description for product 24
25,9,product-25,Product 25,product_25.jpg,Small desc for product 25,37,Long description for product 25,176.57,99.1,1,1,Popular,Meta Title Product 25,"keyword25, product",Meta description for product 25
26,4,product-26,Product 26,product_26.jpg,Small desc for product 26,29,Long description for product 26,28.83,544.79,0,0,New,Meta Title Product 26,"keyword26, product",Meta description for product 26
27,9,product-27,Product 27,product_27.jpg,Small desc for product 27,92,Long description for product 27,184.84,864.17,1,1,Sale,Meta Title Product 27,"keyword27, product",Meta description for product 27
28,8,product-28,Product 28,product_28.jpg,Small desc for product 28,7,Long description for product 28,150.22,27.02,1,1,Sale,Meta Title Product 28,"keyword28, product",Meta description for product 28
29,10,product-29,Product 29,product_29.jpg,Small desc for product 29,97,Long description for product 29,107.82,452.55,0,0,Popular,Meta Title Product 29,"keyword29, product",Meta description for product 29
30,5,product-30,Product 30,product_30.jpg,Small desc for product 30,45,Long description for product 30,840.73,335.14,0,0,New,Meta Title Product 30,"keyword30, product",Meta description for product 30
31,8,product-31,Product 31,product_31.jpg,Small desc for product 31,88,Long description for product 31,460.34,41.24,0,0,Popular,Meta Title Product 31,"keyword31, product",Meta description for product 31
32,7,product-32,Product 32,product_32.jpg,Small desc for product 32,56,Long description for product 32,483.84,750.7,0,1,New,Meta Title Product 32,"keyword32, product",Meta description for product 32
33,1,product-33,Product 33,product_33.jpg,Small desc for product 33,43,Long description for product 33,342.09,153.09,1,1,Popular,Meta Title Product 33,"keyword33, product",Meta description for product 33
34,10,product-34,Product 34,product_34.jpg,Small desc for product 34,39,Long description for product 34,961.58,460.99,1,1,Popular,Meta Title Product 34,"keyword34, product",Meta description for product 34
35,7,product-35,Product 35,product_35.jpg,Small desc for product 35,60,Long description for product 35,582.58,492.33,1,1,Popular,Meta Title Product 35,"keyword35, product",Meta description for product 35
36,2,product-36,Product 36,product_36.jpg,Small desc for product 36,11,Long description for product 36,76.97,360.06,0,1,Popular,Meta Title Product 36,"keyword36, product",Meta description for product 36
37,7,product-37,Product 37,product_37.jpg,Small desc for product 37,47,Long description for product 37,70.44,23.99,1,0,Popular,Meta Title Product 37,"keyword37, product",Meta description for product 37
38,5,product-38,Product 38,product_38.jpg,Small desc for product 38,8,Long description for product 38,702.44,620.48,0,0,Popular,Meta Title Product 38,"keyword38, product",Meta description for product 38
39,8,product-39,Product 39,product_39.jpg,Small desc for product 39,61,Long description for product 39,492.99,641.01,1,0,Popular,Meta Title Product 39,"keyword39, product",Meta description for product 39
40,10,product-40,Product 40,product_40.jpg,Small desc for product 40,28,Long description for product 40,677.76,393.68,1,1,Popular,Meta Title Product 40,"keyword40, product",Meta description for product 40
41,8,product-41,Product 41,product_41.jpg,Small desc for product 41,29,Long description for product 41,138.11,819.48,0,1,Sale,Meta Title Product 41,"keyword41, product",Meta description for product 41
42,1,product-42,Product 42,product_42.jpg,Small desc for product 42,73,Long description for product 42,89.29,703.17,0,0,Popular,Meta Title Product 42,"keyword42, product",Meta description for product 42
43,5,product-43,Product 43,product_43.jpg,Small desc for product 43,33,Long description for product 43,183.05,780.14,0,0,Sale,Meta Title Product 43,"keyword43, product",Meta description for product 43
44,2,product-44,Product 44,product_44.jpg,Small desc for product 44,20,Long description for product 44,267.93,237.66,1,0,New,Meta Title Product 44,"keyword44, product",Meta description for product 44
45,3,product-45,Product 45,product_45.jpg,Small desc for product 45,32,Long description for product 45,485.03,480.7,1,0,Popular,Meta Title Product 45,"keyword45, product",Meta description for product 45
46,1,product-46,Product 46,product_46.jpg,Small desc for product 46,49,Long description for product 46,736.52,208.72,0,0,New,Meta Title Product 46,"keyword46, product",Meta description for product 46
47,3,product-47,Product 47,product_47.jpg,Small desc for product 47,78,Long description for product 47,559.98,698.93,1,1,Popular,Meta Title Product 47,"keyword47, product",Meta description for product 47
48,10,product-48,Product 48,product_48.jpg,Small desc for product 48,52,Long description for product 48,307.4,334.87,0,0,Popular,Meta Title Product 48,"keyword48, product",Meta description for product 48
49,6,product-49,Product 49,product_49.jpg,Small desc for product 49,81,Long description for product 49,983.33,484.92,1,1,New,Meta Title Product 49,"keyword49, product",Meta description for product 49
50,8,product-50,Product 50,product_50.jpg,Small desc for product 50,89,Long description for product 50,206.39,681.65,1,0,Sale,Meta Title Product 50,"keyword50, product",Meta description for product 50
51,9,product-51,Product 51,product_51.jpg,Small desc for product 51,76,Long description for product 51,624.3,212.56,0,1,New,Meta Title Product 51,"keyword51, product",Meta description for product 51
52,5,product-52,Product 52,product_52.jpg,Small desc for product 52,48,Long description for product 52,850.33,582.29,1,1,Popular,Meta Title Product 52,"keyword52, product",Meta description for product 52
53,10,product-53,Product 53,product_53.jpg,Small desc for product 53,19,Long description for product 53,275.69,839.94,0,1,Popular,Meta Title Product 53,"keyword53, product",Meta description for product 53
54,6,product-54,Product 54,product_54.jpg,Small desc for product 54,26,Long description for product 54,454.69,756.18,0,1,Sale,Meta Title Product 54,"keyword54, product",Meta description for product 54
55,6,product-55,Product 55,product_55.jpg,Small desc for product 55,86,Long description for product 55,279.34,368.57,0,1,Sale,Meta Title Product 55,"keyword55, product",Meta description for product 55
56,6,product-56,Product 56,product_56.jpg,Small desc for product 56,47,Long description for product 56,971.53,491.52,0,0,Popular,Meta Title Product 56,"keyword56, product",Meta description for product 56
57,10,product-57,Product 57,product_57.jpg,Small desc for product 57,27,Long description for product 57,482.1,156.27,0,0,Sale,Meta Title Product 57,"keyword57, product",Meta description for product 57
58,5,product-58,Product 58,product_58.jpg,Small desc for product 58,29,Long description for product 58,804.58,87.95,1,1,New,Meta Title Product 58,"keyword58, product",Meta description for product 58
59,3,product-59,Product 59,product_59.jpg,Small desc for product 59,18,Long description for product 59,232.7,173.03,0,0,New,Meta Title Product 59,"keyword59, product",Meta description for product 59
60,6,product-60,Product 60,product_60.jpg,Small desc for product 60,79,Long description for product 60,744.05,80.44,0,0,Sale,Meta Title Product 60,"keyword60, product",Meta description for product 60
61,5,product-61,Product 61,product_61.jpg,Small desc for product 61,24,Long description for product 61,387.54,244.49,0,0,Sale,Meta Title Product 61,"keyword61, product",Meta description for product 61
62,7,product-62,Product 62,product_62.jpg,Small desc for product 62,96,Long description for product 62,425.95,629.89,0,0,New,Meta Title Product 62,"keyword62, product",Meta description for product 62
63,4,product-63,Product 63,product_63.jpg,Small desc for product 63,59,Long description for product 63,243.53,648.61,1,1,Popular,Meta Title Product 63,"keyword63, product",Meta description for product 63
64,8,product-64,Product 64,product_64.jpg,Small desc for product 64,24,Long description for product 64,263.06,259.67,0,1,Popular,Meta Title Product 64,"keyword64, product",Meta description for product 64
65,3,product-65,Product 65,product_65.jpg,Small desc for product 65,25,Long description for product 65,732.21,7.93,1,0,Popular,Meta Title Product 65,"keyword65, product",Meta description for product 65
66,4,product-66,Product 66,product_66.jpg,Small desc for product 66,33,Long description for product 66,174.61,398.67,0,0,Sale,Meta Title Product 66,"keyword66, product",Meta description for product 66
67,8,product-67,Product 67,product_67.jpg,Small desc for product 67,44,Long description for product 67,759.99,98.36,1,1,Popular,Meta Title Product 67,"keyword67, product",Meta description for product 67
68,4,product-68,Product 68,product_68.jpg,Small desc for product 68,75,Long description for product 68,489.72,242.55,0,0,Sale,Meta Title Product 68,"keyword68, product",Meta description for product 68
69,6,product-69,Product 69,product_69.jpg,Small desc for product 69,75,Long description for product 69,955.96,813.69,1,1,Popular,Meta Title Product 69,"keyword69, product",Meta description for product 69
70,4,product-70,Product 70,product_70.jpg,Small desc for product 70,92,Long description for product 70,937.32,241.61,1,0,Sale,Meta Title Product 70,"keyword70, product",Meta description for product 70
71,4,product-71,Product 71,product_71.jpg,Small desc for product 71,94,Long description for product 71,225.55,856.17,1,0,Sale,Meta Title Product 71,"keyword71, product",Meta description for product 71
72,2,product-72,Product 72,product_72.jpg,Small desc for product 72,81,Long description for product 72,815.12,678.64,0,0,New,Meta Title Product 72,"keyword72, product",Meta description for product 72
73,9,product-73,Product 73,product_73.jpg,Small desc for product 73,86,Long description for product 73,261.41,255.95,0,0,Sale,Meta Title Product 73,"keyword73, product",Meta description for product 73
74,6,product-74,Product 74,product_74.jpg,Small desc for product 74,66,Long description for product 74,673.31,434.49,0,1,New,Meta Title Product 74,"keyword74, product",Meta description for product 74
75,3,product-75,Product 75,product_75.jpg,Small desc for product 75,82,Long description for product 75,186.69,256.38,0,0,Popular,Meta Title Product 75,"keyword75, product",Meta description for product 75
76,10,product-76,Product 76,product_76.jpg,Small desc for product 76,5,Long description for product 76,468.77,695.81,1,1,New,Meta Title Product 76,"keyword76, product",Meta description for product 76
77,5,product-77,Product 77,product_77.jpg,Small desc for product 77,76,Long description for product 77,594.63,293.14,1,0,Sale,Meta Title Product 77,"keyword77, product",Meta description for product 77
78,10,product-78,Product 78,product_78.jpg,Small desc for product 78,53,Long description for product 78,662.61,454.44,0,0,New,Meta Title Product 78,"keyword78, product",Meta description for product 78
79,10,product-79,Product 79,product_79.jpg,Small desc for product 79,85,Long description for product 79,910.65,756.9,0,0,Popular,Meta Title Product 79,"keyword79, product",Meta description for product 79
80,2,product-80,Product 80,product_80.jpg,Small desc for product 80,11,Long description for product 80,609.89,555.0,1,1,Popular,Meta Title Product 80,"keyword80, product",Meta description for product 80
81,7,product-81,Product 81,product_81.jpg,Small desc for product 81,15,Long description for product 81,71.13,237.48,1,0,Popular,Meta Title Product 81,"keyword81, product",Meta description for product 81
82,10,product-82,Product 82,product_82.jpg,Small desc for product 82,96,Long description for product 82,950.45,679.7,0,1,Popular,Meta Title Product 82,"keyword82, product",Meta description for product 82
83,5,product-83,Product 83,product_83.jpg,Small desc for product 83,52,Long description for product 83,517.76,685.43,0,1,Popular,Meta Title Product 83,"keyword83, product",Meta description for product 83
84,4,product-84,Product 84,product_84.jpg,Small desc for product 84,9,Long description for product 84,406.13,308.58,0,1,New,Meta Title Product 84,"keyword84, product",Meta description for product 84
85,10,product-85,Product 85,product_85.jpg,Small desc for product 85,77,Long description for product 85,37.25,424.77,1,0,Popular,Meta Title Product 85,"keyword85, product",Meta description for product 85
86,5,product-86,Product 86,product_86.jpg,Small desc for product 86,73,Long description for product 86,496.79,574.56,1,1,New,Meta Title Product 86,"keyword86, product",Meta description for product 86
87,5,product-87,Product 87,product_87.jpg,Small desc for product 87,39,Long description for product 87,751.33,855.53,1,1,Sale,Meta Title Product 87,"keyword87, product",Meta description for product 87
88,1,product-88,Product 88,product_88.jpg,Small desc for product 88,79,Long description for product 88,718.54,202.81,1,0,New,Meta Title Product 88,"keyword88, product",Meta description for product 88
89,1,product-89,Product 89,product_89.jpg,Small desc for product 89,1,Long description for product 89,780.97,418.73,1,0,New,Meta Title Product 89,"keyword89, product",Meta description for product 89
90,2,product-90,Product 90,product_90.jpg,Small desc for product 90,46,Long description for product 90,787.08,172.64,0,1,New,Meta Title Product 90,"keyword90, product",Meta description for product 90
91,10,product-91,Product 91,product_91.jpg,Small desc for product 91,39,Long description for product 91,91.7,245.21,1,1,New,Meta Title Product 91,"keyword91, product",Meta description for product 91
92,8,product-92,Product 92,product_92.jpg,Small desc for product 92,35,Long description for product 92,901.68,843.79,1,1,New,Meta Title Product 92,"keyword92, product",Meta description for product 92
93,8,product-93,Product 93,product_93.jpg,Small desc for product 93,29,Long description for product 93,747.46,71.92,1,1,Popular,Meta Title Product 93,"keyword93, product",Meta description for product 93
94,8,product-94,Product 94,product_94.jpg,Small desc for product 94,61,Long description for product 94,802.66,196.48,1,1,Sale,Meta Title Product 94,"keyword94, product",Meta description for product 94
95,3,product-95,Product 95,product_95.jpg,Small desc for product 95,34,Long description for product 95,102.44,762.53,0,1,Popular,Meta Title Product 95,"keyword95, product",Meta description for product 95
96,6,product-96,Product 96,product_96.jpg,Small desc for product 96,1,Long description for product 96,285.3,655.07,1,0,Sale,Meta Title Product 96,"keyword96, product",Meta description for product 96
97,5,product-97,Product 97,product_97.jpg,Small desc for product 97,76,Long description for product 97,741.71,837.31,1,1,New,Meta Title Product 97,"keyword97, product",Meta description for product 97
98,1,product-98,Product 98,product_98.jpg,Small desc for product 98,1,Long description for product 98,490.37,325.25,1,1,Popular,Meta Title Product 98,"keyword98, product",Meta description for product 98
99,5,product-99,Product 99,product_99.jpg,Small desc for product 99,60,Long description for product 99,853.16,267.63,0,0,Popular,Meta Title Product 99,"keyword99, product",Meta description for product 99
100,1,product-100,Product 100,product_100.jpg,Small desc for product 100,36,Long description for product 100,505.43,90.28,1,0,Popular,Meta Title Product 100,"keyword100, product",Meta description for product 100
101,3,product-101,Product 101,product_101.jpg,Small desc for product 101,54,Long description for product 101,233.34,284.23,0,1,Popular,Meta Title Product 101,"keyword101, product",Meta description for product 101
102,9,product-102,Product 102,product_102.jpg,Small desc for product 102,91,Long description for product 102,158.31,411.7,0,1,New,Meta Title Product 102,"keyword102, product",Meta description for product 102
103,3,product-103,Product 103,product_103.jpg,Small desc for product 103,80,Long description for product 103,329.24,217.34,1,0,New,Meta Title Product 103,"keyword103, product",Meta description for product 103
104,10,product-104,Product 104,product_104.jpg,Small desc for product 104,75,Long description for product 104,231.9,809.47,0,0,New,Meta Title Product 104,"keyword104, product",Meta description for product 104
105,6,product-105,Product 105,product_105.jpg,Small desc for product 105,54,Long description for product 105,192.0,586.1,0,0,Popular,Meta Title Product 105,"keyword105, product",Meta description for product 105
106,5,product-106,Product 106,product_106.jpg,Small desc for product 106,1,Long description for product 106,430.52,812.22,0,1,Popular,Meta Title Product 106,"keyword106, product",Meta description for product 106
107,7,product-107,Product 107,product_107.jpg,Small desc for product 107,93,Long description for product 107,100.14,570.91,0,0,Popular,Meta Title Product 107,"keyword107, product",Meta description for product 107
108,4,product-108,Product 108,product_108.jpg,Small desc for product 108,8,Long description for product 108,947.08,738.32,1,0,Sale,Meta Title Product 108,"keyword108, product",Meta description for product 108
109,4,product-109,Product 109,product_109.jpg,Small desc for product 109,79,Long description for product 109,994.11,75.17,1,0,Sale,Meta Title Product 109,"keyword109, product",Meta description for product 109
110,8,product-110,Product 110,product_110.jpg,Small desc for product 110,12,Long description for product 110,900.58,228.22,0,0,New,Meta Title Product 110,"keyword110, product",Meta description for product 110
111,7,product-111,Product 111,product_111.jpg,Small desc for product 111,3,Long description for product 111,886.3,795.67,0,0,Popular,Meta Title Product 111,"keyword111, product",Meta description for product 111
112,4,product-112,Product 112,product_112.jpg,Small desc for product 112,13,Long description for product 112,474.23,468.24,1,0,Sale,Meta Title Product 112,"keyword112, product",Meta description for product 112
113,2,product-113,Product 113,product_113.jpg,Small desc for product 113,94,Long description for product 113,528.02,84.92,1,0,Sale,Meta Title Product 113,"keyword113, product",Meta description for product 113
114,1,product-114,Product 114,product_114.jpg,Small desc for product 114,16,Long description for product 114,522.59,85.46,0,1,Sale,Meta Title Product 114,"keyword114, product",Meta description for product 114
115,10,product-115,Product 115,product_115.jpg,Small desc for product 115,16,Long description for product 115,608.69,866.45,1,0,Popular,Meta Title Product 115,"keyword115, product",Meta description for product 115
116,9,product-116,Product 116,product_116.jpg,Small desc for product 116,84,Long description for product 116,729.97,92.58,1,0,Popular,Meta Title Product 116,"keyword116, product",Meta description for product 116
117,9,product-117,Product 117,product_117.jpg,Small desc for product 117,36,Long description for product 117,537.08,890.88,0,1,New,Meta Title Product 117,"keyword117, product",Meta description for product 117
118,2,product-118,Product 118,product_118.jpg,Small desc for product 118,57,Long description for product 118,571.36,204.19,1,1,New,Meta Title Product 118,"keyword118, product",Meta description for product 118
119,9,product-119,Product 119,product_119.jpg,Small desc for product 119,65,Long description for product 119,338.17,112.69,0,1,Sale,Meta Title Product 119,"keyword119, product",Meta description for product 119
120,10,product-120,Product 120,product_120.jpg,Small desc for product 120,35,Long description for product 120,536.86,659.29,0,1,Sale,Meta Title Product 120,"keyword120, product",Meta description for product 120
121,9,product-121,Product 121,product_121.jpg,Small desc for product 121,57,Long description for product 121,757.84,737.23,0,0,New,Meta Title Product 121,"keyword121, product",Meta description for product 121
122,2,product-122,Product 122,product_122.jpg,Small desc for product 122,57,Long description for product 122,28.56,645.32,0,1,New,Meta Title Product 122,"keyword122, product",Meta description for product 122
123,3,product-123,Product 123,product_123.jpg,Small desc for product 123,34,Long description for product 123,266.21,195.29,0,1,New,Meta Title Product 123,"keyword123, product",Meta description for product 123
124,4,product-124,Product 124,product_124.jpg,Small desc for product 124,97,Long description for product 124,58.08,739.98,0,0,Popular,Meta Title Product 124,"keyword124, product",Meta description for product 124
125,9,product-125,Product 125,product_125.jpg,Small desc for product 125,92,Long description for product 125,181.0,291.32,1,0,New,Meta Title Product 125,"keyword125, product",Meta description for product 125
126,9,product-126,Product 126,product_126.jpg,Small desc for product 126,25,Long description for product 126,668.71,144.33,0,0,Sale,Meta Title Product 126,"keyword126, product",Meta description for product 126
127,1,product-127,Product 127,product_127.jpg,Small desc for product 127,7,Long description for product 127,810.82,566.56,1,1,Popular,Meta Title Product 127,"keyword127, product",Meta description for product 127
128,9,product-128,Product 128,product_128.jpg,Small desc for product 128,98,Long description for product 128,970.61,682.88,1,0,New,Meta Title Product 128,"keyword128, product",Meta description for product 128
129,5,product-129,Product 129,product_129.jpg,Small desc for product 129,6,Long description for product 129,400.53,867.9,0,0,Sale,Meta Title Product 129,"keyword129, product",Meta description for product 129
130,6,product-130,Product 130,product_130.jpg,Small desc for product 130,75,Long description for product 130,920.31,17.03,0,0,New,Meta Title Product 130,"keyword130, product",Meta description for product 130
131,7,product-131,Product 131,product_131.jpg,Small desc for product 131,79,Long description for product 131,158.5,850.2,0,0,Popular,Meta Title Product 131,"keyword131, product",Meta description for product 131
132,9,product-132,Product 132,product_132.jpg,Small desc for product 132,97,Long description for product 132,386.05,645.19,1,0,New,Meta Title Product 132,"keyword132, product",Meta description for product 132
133,5,product-133,Product 133,product_133.jpg,Small desc for product 133,62,Long description for product 133,213.38,706.34,1,0,Popular,Meta Title Product 133,"keyword133, product",Meta description for product 133
134,5,product-134,Product 134,product_134.jpg,Small desc for product 134,58,Long description for product 134,183.91,291.89,0,1,Sale,Meta Title Product 134,"keyword134, product",Meta description for product 134
135,1,product-135,Product 135,product_135.jpg,Small desc for product 135,62,Long description for product 135,665.25,867.04,1,1,Sale,Meta Title Product 135,"keyword135, product",Meta description for product 135
136,4,product-136,Product 136,product_136.jpg,Small desc for product 136,40,Long description for product 136,313.16,210.16,0,0,Sale,Meta Title Product 136,"keyword136, product",Meta description for product 136
137,2,product-137,Product 137,product_137.jpg,Small desc for product 137,18,Long description for product 137,924.98,497.3,0,0,Sale,Meta Title Product 137,"keyword137, product",Meta description for product 137
138,3,product-138,Product 138,product_138.jpg,Small desc for product 138,54,Long description for product 138,567.75,655.27,1,1,Popular,Meta Title Product 138,"keyword138, product",Meta description for product 138
139,4,product-139,Product 139,product_139.jpg,Small desc for product 139,76,Long description for product 139,774.6,716.18,1,1,New,Meta Title Product 139,"keyword139, product",Meta description for product 139
140,4,product-140,Product 140,product_140.jpg,Small desc for product 140,2,Long description for product 140,576.81,132.04,1,0,Sale,Meta Title Product 140,"keyword140, product",Meta description for product 140
141,2,product-141,Product 141,product_141.jpg,Small desc for product 141,55,Long description for product 141,797.92,41.29,0,0,Popular,Meta Title Product 141,"keyword141, product",Meta description for product 141
142,4,product-142,Product 142,product_142.jpg,Small desc for product 142,80,Long description for product 142,789.02,742.38,0,1,Sale,Meta Title Product 142,"keyword142, product",Meta description for product 142
143,1,product-143,Product 143,product_143.jpg,Small desc for product 143,93,Long description for product 143,600.57,615.79,1,1,New,Meta Title Product 143,"keyword143, product",Meta description for product 143
144,1,product-144,Product 144,product_144.jpg,Small desc for product 144,72,Long description for product 144,294.51,401.4,1,0,Sale,Meta Title Product 144,"keyword144, product",Meta description for product 144
145,8,product-145,Product 145,product_145.jpg,Small desc for product 145,46,Long description for product 145,490.06,27.05,1,1,Popular,Meta Title Product 145,"keyword145, product",Meta description for product 145
146,2,product-146,Product 146,product_146.jpg,Small desc for product 146,23,Long description for product 146,46.42,684.04,1,1,New,Meta Title Product 146,"keyword146, product",Meta description for product 146
147,6,product-147,Product 147,product_147.jpg,Small desc for product 147,87,Long description for product 147,22.37,643.43,0,1,Sale,Meta Title Product 147,"keyword147, product",Meta description for product 147
148,7,product-148,Product 148,product_148.jpg,Small desc for product 148,35,Long description for product 148,298.05,335.62,1,0,New,Meta Title Product 148,"keyword148, product",Meta description for product 148
149,4,product-149,Product 149,product_149.jpg,Small desc for product 149,96,Long description for product 149,802.01,722.88,0,0,Popular,Meta Title Product 149,"keyword149, product",Meta description for product 149
150,6,product-150,Product 150,product_150.jpg,Small desc for product 150,24,Long description for product 150,730.31,82.44,1,1,New,Meta Title Product 150,"keyword150, product",Meta description for product 150
151,4,product-151,Product 151,product_151.jpg,Small desc for product 151,22,Long description for product 151,102.78,168.07,1,0,Popular,Meta Title Product 151,"keyword151, product",Meta description for product 151
152,3,product-152,Product 152,product_152.jpg,Small desc for product 152,35,Long description for product 152,440.16,893.06,1,0,Sale,Meta Title Product 152,"keyword152, product",Meta description for product 152
153,9,product-153,Product 153,product_153.jpg,Small desc for product 153,95,Long description for product 153,156.14,644.18,0,0,Popular,Meta Title Product 153,"keyword153, product",Meta description for product 153
154,6,product-154,Product 154,product_154.jpg,Small desc for product 154,16,Long description for product 154,36.8,767.97,1,1,Popular,Meta Title Product 154,"keyword154, product",Meta description for product 154
155,3,product-155,Product 155,product_155.jpg,Small desc for product 155,72,Long description for product 155,775.38,849.73,1,0,Popular,Meta Title Product 155,"keyword155, product",Meta description for product 155
156,5,product-156,Product 156,product_156.jpg,Small desc for product 156,4,Long description for product 156,286.19,673.22,1,1,New,Meta Title Product 156,"keyword156, product",Meta description for product 156
157,6,product-157,Product 157,product_157.jpg,Small desc for product 157,59,Long description for product 157,838.7,97.36,0,0,Sale,Meta Title Product 157,"keyword157, product",Meta description for product 157
158,7,product-158,Product 158,product_158.jpg,Small desc for product 158,2,Long description for product 158,278.68,150.94,0,1,Popular,Meta Title Product 158,"keyword158, product",Meta description for product 158
159,1,product-159,Product 159,product_159.jpg,Small desc for product 159,7,Long description for product 159,624.5,336.73,1,1,Sale,Meta Title Product 159,"keyword159, product",Meta description for product 159
160,7,product-160,Product 160,product_160.jpg,Small desc for product 160,51,Long description for product 160,340.94,782.53,1,0,New,Meta Title Product 160,"keyword160, product",Meta description for product 160
161,1,product-161,Product 161,product_161.jpg,Small desc for product 161,99,Long description for product 161,450.95,338.61,0,1,Popular,Meta Title Product 161,"keyword161, product",Meta description for product 161
162,9,product-162,Product 162,product_162.jpg,Small desc for product 162,93,Long description for product 162,900.24,408.77,1,0,Popular,Meta Title Product 162,"keyword162, product",Meta description for product 162
163,2,product-163,Product 163,product_163.jpg,Small desc for product 163,25,Long description for product 163,430.97,855.7,1,0,Sale,Meta Title Product 163,"keyword163, product",Meta description for product 163
164,3,product-164,Product 164,product_164.jpg,Small desc for product 164,49,Long description for product 164,953.76,748.37,1,1,Sale,Meta Title Product 164,"keyword164, product",Meta description for product 164
165,4,product-165,Product 165,product_165.jpg,Small desc for product 165,10,Long description for product 165,556.5,33.86,1,0,New,Meta Title Product 165,"keyword165, product",Meta description for product 165
166,10,product-166,Product 166,product_166.jpg,Small desc for product 166,59,Long description for product 166,590.38,19.81,1,0,Sale,Meta Title Product 166,"keyword166, product",Meta description for product 166
167,8,product-167,Product 167,product_167.jpg,Small desc for product 167,70,Long description for product 167,806.97,805.84,0,1,Popular,Meta Title Product 167,"keyword167, product",Meta description for product 167
168,3,product-168,Product 168,product_168.jpg,Small desc for product 168,40,Long description for product 168,144.9,54.16,1,0,Sale,Meta Title Product 168,"keyword168, product",Meta description for product 168
